date,decision
2026-02-26,BUY
2026-02-27,BUY
2026-02-28,BUY
2026-03-01,SELL
2026-03-02,SELL
2026-03-03,SELL
2026-03-04,HOLD
2026-03-05,SELL
2026-03-06,SELL
2026-03-07,SELL
2026-03-08,SELL
2026-03-09,BUY
2026-03-10,SELL
2026-03-11,SELL
2026-03-12,SELL
2026-03-13,SELL
2026-03-14,SELL
2026-03-15,SELL
2026-03-16,BUY
2026-03-18,BUY
2026-03-19,SELL
2026-03-20,SELL
2026-03-21,SELL
2026-03-22,SELL
2026-03-23,SELL
2026-03-24,SELL
2026-03-25,SELL
2026-03-26,HOLD
2026-03-27,SELL
2026-03-28,SELL
2026-03-29,SELL
2026-03-30,SELL
2026-03-31,BUY
2026-04-01,BUY
